Index,Year,Weight,Place,Wrestler,School,Seed,Placement-Seed Delta,Eligibility Year,Progression Eligible,AAs
1,2000,125,1,Jeremy Hunter,Penn State,2,1,Sr,FALSE,1
2,2000,125,2,Steve Garland,Virginia,8,6,Sr,FALSE,1
3,2000,125,3,Jody Strittmatter,Iowa,1,-2,Jr,FALSE,2
4,2000,125,4,T.J. Hill,Cal State-Fullerton,US,9,Fr,TRUE,1
5,2000,125,5,Leroy Vega,Minnesota,3,-2,Jr,FALSE,2
6,2000,125,6,Jeff Ragan,Oklahoma State,6,0,Sr,FALSE,1
7,2000,125,7,Ruben DeLeon,CSU Bakersfield,US,6,So,FALSE,2
8,2000,125,8,Paul Gomez,Nebraska,US,5,Sr,FALSE,1
9,2000,133,1,Eric Juergens,Iowa,1,0,Jr,FALSE,2
10,2000,133,2,Cody Sanderson,Iowa State,2,0,Sr,FALSE,1
11,2000,133,3,Joe Warren,Michigan,4,1,Sr,FALSE,1
12,2000,133,4,Rob Loper,Pittsburgh,10,6,Sr,FALSE,1
13,2000,133,5,Todd Beckerman,Nebraska,7,2,Jr,FALSE,2
14,2000,133,6,Pat McNamara,Michigan State,3,-3,Jr,FALSE,2
15,2000,133,7,Roman Fleszar,Hofstra,5,-2,Jr,FALSE,2
16,2000,133,8,Mike Coyle,James Madison,US,5,Sr,FALSE,1
17,2000,141,1,Carl Perry,Illinois,8,7,Sr,FALSE,1
18,2000,141,2,Michael Lightner,Oklahoma,2,0,Jr,FALSE,2
19,2000,141,3,Doug Schwab,Iowa,1,-2,Jr,FALSE,2
20,2000,141,4,Mark Angle,Clarion,4,0,Sr,FALSE,1
21,2000,141,5,Scott Schatzman,Northwestern,3,-2,Sr,FALSE,1
22,2000,141,6,Damion Logan,Michigan,6,0,Jr,FALSE,1
23,2000,141,7,Sean Gray,Virginia Tech,9,2,So,FALSE,2
24,2000,141,8,Chris Marshall,Central Michigan,7,-1,Sr,FALSE,1
25,2000,149,1,Tony Davis,Northern Iowa,1,0,Sr,FALSE,1
26,2000,149,2,Adam Tirapelle,Illinois,2,0,So,FALSE,2
27,2000,149,3,Dave Esposito,Lehigh,5,2,Jr,FALSE,2
28,2000,149,4,Reggie Wright,Oklahoma State,3,-1,Jr,FALSE,1
29,2000,149,5,Eric Schmiesing,Hofstra,6,1,Jr,FALSE,2
30,2000,149,6,Jared Lawrence,Minnesota,4,-2,Fr,TRUE,4
31,2000,149,7,Mike Zadick,Iowa,7,0,Fr,TRUE,3
32,2000,149,8,Quinn Foster,Arizona State,8,0,Jr,FALSE,1
33,2000,157,1,Brett Matter,Pennsylvania,2,1,Sr,FALSE,1
34,2000,157,2,Larry Quisel,Boise State,5,3,Sr,FALSE,1
35,2000,157,3,T.J. Williams,Iowa,1,-2,Jr,FALSE,2
36,2000,157,4,Cory Wallman,Wisconsin,11,7,Sr,FALSE,1
37,2000,157,5,Bryan Snyder,Nebraska,3,-2,So,FALSE,3
38,2000,157,6,Luke Becker,Minnesota,8,2,Fr,TRUE,4
39,2000,157,7,Shaun Shapert,Edinboro,US,6,Jr,FALSE,1
40,2000,157,8,Mike Ziska,Pittsburgh,US,5,Sr,FALSE,1
41,2000,165,1,Don Pritzlaff,Wisconsin,2,1,Jr,FALSE,2
42,2000,165,2,Joe Heskett,Iowa State,1,-1,So,FALSE,3
43,2000,165,3,Steven Blackford,Arizona State,3,0,Jr,FALSE,2
44,2000,165,4,Chris Martin,Virginia Tech,12,8,Sr,FALSE,1
45,2000,165,5,Kirk White,Boise State,4,-1,Jr,FALSE,2
46,2000,165,6,Travis Doto,Lehigh,7,1,Sr,FALSE,1
47,2000,165,7,Brad Pike,Minnesota,9,2,Jr,FALSE,2
48,2000,165,8,Joey Killar,Harvard,6,-2,Sr,FALSE,1
49,2000,174,1,Byron Tucker,Oklahoma,1,0,Sr,FALSE,1
50,2000,174,2,Josh Koscheck,Edinboro,3,1,So,FALSE,3
51,2000,174,3,Ryan Cunningham,Central Michigan,4,1,Sr,FALSE,1
52,2000,174,4,Randy Pugh,Northern Iowa,5,1,Sr,FALSE,1
53,2000,174,5,Rick Springman,Pennsylvania,2,-3,So,FALSE,1
54,2000,174,6,Mark Dufresne,Lehigh,US,7,Sr,FALSE,1
55,2000,174,7,Kole Clauson,Wisconsin,8,1,Sr,FALSE,1
56,2000,174,8,Ed Mosley,Harvard,6,-2,Sr,FALSE,1
57,2000,184,1,Cael Sanderson,Iowa State,1,0,So,FALSE,3
58,2000,184,2,Vertus Jones,West Virginia,2,0,Sr,FALSE,1
59,2000,184,3,Brandon Eggum,Minnesota,4,1,Sr,FALSE,1
60,2000,184,4,Doug Lee,Oregon,6,2,Jr,FALSE,1
61,2000,184,5,Rob Rohn,Lehigh,9,4,So,FALSE,2
62,2000,184,6,Kevin Welsh,Edinboro,7,1,Sr,FALSE,1
63,2000,184,7,Cash Edwards,Boise State,US,6,Jr,FALSE,2
64,2000,184,8,Shawn Scannell,Rider,12,4,Jr,FALSE,1
65,2000,197,1,Brad Vering,Nebraska,2,1,Jr,FALSE,2
66,2000,197,2,Zach Thompson,Iowa State,4,2,Jr,FALSE,1
67,2000,197,3,Mark Munoz,Oklahoma State,1,-2,So,FALSE,2
68,2000,197,4,Nick Muzashvili,Michigan State,3,-1,Sr,FALSE,1
69,2000,197,5,Nick Preston,Ohio State,7,2,So,FALSE,2
70,2000,197,6,Ross Thatcher,Penn State,9,3,Sr,FALSE,1
71,2000,197,7,Orville Palmer,Oklahoma,5,-2,Jr,FALSE,1
72,2000,197,8,Pat Quirk,Illinois,11,3,Jr,FALSE,2
73,2000,285,1,Brock Lesnar,Minnesota,1,0,Sr,FALSE,1
74,2000,285,2,Wes Hand,Iowa,3,1,Sr,FALSE,1
75,2000,285,3,Trent Hynek,Iowa State,2,-1,Sr,FALSE,1
76,2000,285,4,Antonio Garay,Boston College,6,2,So,FALSE,1
77,2000,285,5,Tim Courtad,Ohio University,9,4,Sr,FALSE,1
78,2000,285,6,Bandele Adeniyi-Bada,Pennsylvania,5,-1,So,FALSE,1
79,2000,285,7,John Lockhart,Illinois,4,-3,So,FALSE,3
80,2000,285,8,Matt Brink,Michigan,12,4,Jr,FALSE,2
81,2001,125,1,Stephen Abas,Fresno State,1,0,Jr,FALSE,2
82,2001,125,2,Jody Strittmatter,Iowa,2,0,Sr,FALSE,2
83,2001,125,3,Leroy Vega,Minnesota,3,0,Sr,FALSE,2
84,2001,125,4,A.J. Grant,Michigan,10,6,So,TRUE,2
85,2001,125,5,Mario Stuart,Lehigh,US,8,Fr,TRUE,2
86,2001,125,6,Matt Brown,Oklahoma State,6,0,Fr,TRUE,4
87,2001,125,7,Chris Williams,Michigan State,7,0,Jr,FALSE,1
88,2001,125,8,Ruben DeLeon,CSU Bakersfield,9,1,Jr,FALSE,2
89,2001,133,1,Eric Juergens,Iowa,1,0,Sr,FALSE,2
90,2001,133,2,Johnny Thompson,Oklahoma State,2,0,Fr,TRUE,4
91,2001,133,3,Witt Durden,Oklahoma,US,10,So,TRUE,2
92,2001,133,4,Todd Beckerman,Nebraska,3,-1,Sr,FALSE,2
93,2001,133,5,Roman Fleszar,Hofstra,5,0,Sr,FALSE,2
94,2001,133,6,Pat McNamara,Michigan State,4,-2,Sr,FALSE,2
95,2001,133,7,David Douglas,Arizona State,11,4,Jr,FALSE,2
96,2001,133,8,Brett Lawrence,Minnesota,10,2,Sr,FALSE,1
97,2001,141,1,Michael Lightner,Oklahoma,2,1,Sr,FALSE,2
98,2001,141,2,Doug Schwab,Iowa,1,-1,Sr,FALSE,2
99,2001,141,3,Eric Larkin,Arizona State,3,0,So,TRUE,3
100,2001,141,4,Grant Hoerr,Wisconsin,11,7,Sr,FALSE,1
101,2001,141,5,Mark Conley,Navy,US,8,Jr,FALSE,2
102,2001,141,6,Sean Gray,Virginia Tech,4,-2,Jr,FALSE,2
103,2001,141,7,Robert Sessley,Ohio State,US,6,Jr,FALSE,2
104,2001,141,8,Chad Erikson,Minnesota,7,-1,Jr,FALSE,2
105,2001,149,1,Adam Tirapelle,Illinois,3,2,Jr,FALSE,2
106,2001,149,2,Dave Esposito,Lehigh,4,2,Sr,FALSE,2
107,2001,149,3,Mike Zadick,Iowa,US,10,So,TRUE,3
108,2001,149,4,Jared Frayer,Oklahoma,8,4,Jr,FALSE,2
109,2001,149,5,JaMarr Billman,Lock Haven,7,2,Jr,FALSE,2
110,2001,149,6,Jared Lawrence,Minnesota,2,-4,So,TRUE,4
111,2001,149,7,Mike Kulczycki,Michigan,11,4,So,TRUE,1
112,2001,149,8,Eric Schmiesing,Hofstra,6,-2,Sr,FALSE,2
113,2001,157,1,T.J. Williams,Iowa,1,0,Sr,FALSE,2
114,2001,157,2,Bryan Snyder,Nebraska,2,0,Jr,FALSE,3
115,2001,157,3,Shane Roller,Oklahoma State,12,9,So,TRUE,3
116,2001,157,4,Luke Becker,Minnesota,6,2,So,TRUE,4
117,2001,157,5,Eric Jorgensen,Oregon State,4,-1,Sr,FALSE,1
118,2001,157,6,Kirk White,Boise State,5,-1,Sr,FALSE,2
119,2001,157,7,Yoshi Nakamura,Pennsylvania,3,-4,Jr,FALSE,2
120,2001,157,8,Gray Maynard,Michigan State,US,5,So,TRUE,3
121,2001,165,1,Don Pritzlaff,Wisconsin,1,0,Sr,FALSE,2
122,2001,165,2,Joe Heskett,Iowa State,2,0,Jr,FALSE,3
123,2001,165,3,Matt Lackey,Illinois,5,2,So,TRUE,3
124,2001,165,4,Brad Pike,Minnesota,6,2,Sr,FALSE,2
125,2001,165,5,Steven Blackford,Arizona State,3,-2,Sr,FALSE,2
126,2001,165,6,Kevin Stanley,Indiana,9,3,Sr,FALSE,1
127,2001,165,7,Chris Vitale,Lehigh,US,6,Jr,FALSE,1
128,2001,165,8,Ben Shirk,Iowa,US,5,Jr,FALSE,1
129,2001,174,1,Josh Koscheck,Edinboro,1,0,Jr,FALSE,3
130,2001,174,2,Maurice Worthy,Army,3,1,Sr,FALSE,1
131,2001,174,3,Otto Olson,Michigan,2,-1,Jr,FALSE,2
132,2001,174,4,Jacob Volkmann,Minnesota,10,6,Fr,TRUE,1
133,2001,174,5,Tyrone Lewis,Oklahoma State,4,-1,Fr,TRUE,4
134,2001,174,6,Gabe McMahan,Iowa,5,-1,Sr,FALSE,1
135,2001,174,7,Jim Stanec,Cornell,US,6,Sr,FALSE,1
136,2001,174,8,Ati Conner,Nebraska,12,4,Sr,FALSE,1
137,2001,184,1,Cael Sanderson,Iowa State,1,0,Jr,FALSE,3
138,2001,184,2,Daniel Cormier,Oklahoma State,3,1,Sr,FALSE,1
139,2001,184,3,Viktor Sveda,Indiana,4,1,Jr,FALSE,1
140,2001,184,4,Andy Hrovat,Michigan,7,3,Jr,FALSE,2
141,2001,184,5,Damion Hahn,Minnesota,5,0,Fr,TRUE,4
142,2001,184,6,Cash Edwards,Boise State,9,3,Sr,FALSE,2
143,2001,184,7,Josh Lambrecht,Oklahoma,US,6,Fr,TRUE,3
144,2001,184,8,Kyle Hansen,Northern Iowa,US,5,So,TRUE,2
145,2001,197,1,Mark Munoz,Oklahoma State,1,0,Jr,FALSE,2
146,2001,197,2,Pat Quirk,Illinois,7,5,Sr,FALSE,2
147,2001,197,3,Owen Elzen,Minnesota,5,2,Jr,FALSE,2
148,2001,197,4,Rusty Cook,Boise State,4,0,Sr,FALSE,1
149,2001,197,5,Mike Fickell,Pennsylvania,11,6,Sr,FALSE,1
150,2001,197,6,David Shunamon,Edinboro,US,7,Sr,FALSE,1
151,2001,197,7,Brad Vering,Nebraska,2,-5,Sr,FALSE,2
152,2001,197,8,Nik Fekete,Michigan State,US,5,Jr,FALSE,1
153,2001,285,1,John Lockhart,Illinois,4,3,Jr,FALSE,3
154,2001,285,2,Tommy Rowlands,Ohio State,2,0,Fr,TRUE,4
155,2001,285,3,Garrett Lowney,Minnesota,1,-2,Jr,FALSE,2
156,2001,285,4,Leonce Crump,Oklahoma,9,5,So,TRUE,2
157,2001,285,5,Billy Blunt,Fresno State,7,2,Sr,FALSE,1
158,2001,285,6,Paul Hynek,Northern Iowa,6,0,Jr,FALSE,2
159,2001,285,7,Matt Brink,Michigan,5,-2,Sr,FALSE,2
160,2001,285,8,Jake Vercelli,Purdue,US,5,Jr,FALSE,2
161,2002,125,1,Stephen Abas,Fresno State,1,0,Sr,FALSE,2
162,2002,125,2,Luke Eustice,Iowa,7,5,Jr,TRUE,1
163,2002,125,3,Chris Fleeger,Purdue,4,1,Fr,TRUE,3
164,2002,125,4,Ben VomBaur,Boise State,5,1,Jr,TRUE,2
165,2002,125,5,Jason Powell,Nebraska,9,4,So,TRUE,3
166,2002,125,6,Skyler Holman,Oklahoma State,3,-3,So,TRUE,1
167,2002,125,7,Travis Lee,Cornell,11,4,Fr,TRUE,4
168,2002,125,8,Chris Rodrigues,North Carolina,US,5,Fr,TRUE,1
169,2002,133,1,Johnny Thompson,Oklahoma State,2,1,So,TRUE,4
170,2002,133,2,Ryan Lewis,Minnesota,1,-1,Jr,TRUE,2
171,2002,133,3,Witt Durden,Oklahoma,3,0,Jr,TRUE,2
172,2002,133,4,Kevin Black,Wisconsin,4,0,Jr,TRUE,1
173,2002,133,5,David Douglas,Arizona State,5,0,Sr,FALSE,2
174,2002,133,6,Cliff Moore,Iowa,6,0,So,TRUE,3
175,2002,133,7,Zach Roberson,Iowa State,9,2,So,TRUE,3
176,2002,133,8,Cory Ace,Edinboro,US,5,Jr,TRUE,1
177,2002,141,1,Aaron Holker,Iowa State,5,4,Jr,TRUE,2
178,2002,141,2,Eric Larkin,Arizona State,2,0,Jr,TRUE,3
179,2002,141,3,Cedric Haymon,Cal Poly,6,3,Sr,FALSE,1
180,2002,141,4,Robert Sessley,Ohio State,11,7,Sr,FALSE,2
181,2002,141,5,Nate Parker,Oklahoma,US,8,Sr,FALSE,1
182,2002,141,6,Mark Conley,Navy,1,-5,Sr,FALSE,2
183,2002,141,7,Chad Erikson,Minnesota,8,1,Sr,FALSE,2
184,2002,141,8,Mike Maney,Lock Haven,US,5,Jr,TRUE,2
185,2002,149,1,Jared Lawrence,Minnesota,2,1,Jr,TRUE,4
186,2002,149,2,Jared Frayer,Oklahoma,4,2,Sr,FALSE,2
187,2002,149,3,Jesse Jantzen,Harvard,5,2,So,TRUE,3
188,2002,149,4,Jake Percival,Ohio University,8,4,Fr,TRUE,4
189,2002,149,5,JaMarr Billman,Lock Haven,3,-2,Sr,FALSE,2
190,2002,149,6,Bill Maldonado,Iowa State,7,1,Sr,FALSE,1
191,2002,149,7,Mike Zadick,Iowa,1,-6,Jr,TRUE,3
192,2002,149,8,Scott Frohardt,Air Force,12,4,Sr,FALSE,1
193,2002,157,1,Luke Becker,Minnesota,3,2,Jr,TRUE,4
194,2002,157,2,Bryan Snyder,Nebraska,1,-1,Sr,FALSE,3
195,2002,157,3,Yoshi Nakamura,Pennsylvania,2,-1,Sr,FALSE,2
196,2002,157,4,Shane Roller,Oklahoma State,4,0,Jr,TRUE,3
197,2002,157,5,Scott Owen,Northern Illinois,5,0,Jr,TRUE,2
198,2002,157,6,Ryan Bertin,Michigan,6,0,Fr,TRUE,4
199,2002,157,7,Gray Maynard,Michigan State,9,2,Jr,TRUE,3
200,2002,157,8,Griff Powell,Illinois,10,2,Sr,FALSE,1
201,2002,165,1,Joe Heskett,Iowa State,1,0,Sr,FALSE,3
202,2002,165,2,Matt Lackey,Illinois,2,0,Jr,TRUE,3
203,2002,165,3,Tyrone Lewis,Oklahoma State,3,0,So,TRUE,4
204,2002,165,4,Eugene Harris,Oregon,7,3,Sr,FALSE,1
205,2002,165,5,Mark Fee,Appalachian State,US,8,Jr,TRUE,2
206,2002,165,6,Robbie Waller,Oklahoma,9,3,Jr,TRUE,2
207,2002,165,7,Josh Henson,Pennsylvania,5,-2,Jr,TRUE,1
208,2002,165,8,Doc Vecchio,Penn State,11,3,Jr,TRUE,1
209,2002,174,1,Greg Jones,West Virginia,2,1,Fr,TRUE,3
210,2002,174,2,Greg Parker,Princeton,4,2,Jr,TRUE,2
211,2002,174,3,Josh Koscheck,Edinboro,3,0,Sr,FALSE,3
212,2002,174,4,Nathan Coy,Oregon State,11,7,Sr,FALSE,1
213,2002,174,5,Otto Olson,Michigan,1,-4,Sr,FALSE,2
214,2002,174,6,Rick Springman,Pennsylvania,6,0,Sr,FALSE,1
215,2002,174,7,Terry Parham,Air Force,US,6,Jr,TRUE,1
216,2002,174,8,Michael Barger,Oklahoma,US,5,Sr,FALSE,1
217,2002,184,1,Rob Rohn,Lehigh,8,7,Sr,FALSE,2
218,2002,184,2,Josh Lambrecht,Oklahoma,6,4,So,TRUE,3
219,2002,184,3,Jessman Smith,Iowa,4,1,So,TRUE,2
220,2002,184,4,Tom Tanis,Rutgers,US,9,Jr,TRUE,1
221,2002,184,5,Damion Hahn,Minnesota,2,-3,So,TRUE,4
222,2002,184,6,Clint Wattenberg,Cornell,7,1,Jr,TRUE,2
223,2002,184,7,Andy Hrovat,Michigan,3,-4,Sr,FALSE,2
224,2002,184,8,Kyle Hansen,Northern Iowa,US,5,Jr,TRUE,2
225,2002,197,1,Cael Sanderson,Iowa State,1,0,Sr,FALSE,3
226,2002,197,2,Jon Trenge,Lehigh,2,0,So,TRUE,3
227,2002,197,3,Nick Preston,Ohio State,4,1,Sr,FALSE,2
228,2002,197,4,Owen Elzen,Minnesota,3,-1,Sr,FALSE,2
229,2002,197,5,Justin Ruiz,Nebraska,US,8,Jr,TRUE,2
230,2002,197,6,Scott Barker,Missouri,5,-1,So,TRUE,2
231,2002,197,7,Kyle Smith,Michigan,6,-1,Jr,TRUE,2
232,2002,197,8,Jason Payne,Northern Iowa,8,0,Sr,FALSE,1
233,2002,285,1,Tommy Rowlands,Ohio State,1,0,So,TRUE,4
234,2002,285,2,Steve Mocco,Iowa,2,0,Fr,TRUE,4
235,2002,285,3,John Lockhart,Illinois,5,2,Sr,FALSE,3
236,2002,285,4,Jake Vercelli,Purdue,6,2,Sr,FALSE,2
237,2002,285,5,Garrett Lowney,Minnesota,4,-1,Sr,FALSE,2
238,2002,285,6,Paul Hynek,Northern Iowa,9,3,Sr,FALSE,2
239,2002,285,7,Dawid Rechul,Harvard,7,0,Sr,FALSE,1
240,2002,285,8,Kevin Hoy,Air Force,8,0,Jr,TRUE,2
241,2003,125,1,Travis Lee,Cornell,2,1,So,TRUE,4
242,2003,125,2,Chris Fleeger,Purdue,1,-1,So,TRUE,3
243,2003,125,3,Jason Powell,Nebraska,9,6,Jr,TRUE,3
244,2003,125,4,A.J. Grant,Michigan,4,0,Sr,TRUE,2
245,2003,125,5,Tony Black,Wisconsin,10,5,Sr,TRUE,1
246,2003,125,6,Ben VomBaur,Boise State,3,-3,Sr,TRUE,2
247,2003,125,7,Nick Simmons,Michigan State,5,-2,Fr,TRUE,4
248,2003,125,8,Bobbe Lowe,Minnesota,US,5,So,TRUE,2
249,2003,133,1,Johnny Thompson,Oklahoma State,1,0,Jr,TRUE,4
250,2003,133,2,Ryan Lewis,Minnesota,3,1,Sr,TRUE,2
251,2003,133,3,Josh Moore,Penn State,7,4,Jr,TRUE,2
252,2003,133,4,Zach Roberson,Iowa State,5,1,Jr,TRUE,3
253,2003,133,5,Rad Martinez,Clarion,US,8,Sr,TRUE,1
254,2003,133,6,Cliff Moore,Iowa,2,-4,Jr,TRUE,3
255,2003,133,7,Evan Sola,North Carolina,US,6,So,TRUE,2
256,2003,133,8,Brandon Lauer,West Virginia,US,5,So,TRUE,1
257,2003,141,1,Teyon Ware,Oklahoma,1,0,Fr,TRUE,4
258,2003,141,2,Dylan Long,Northern Iowa,3,1,Sr,TRUE,1
259,2003,141,3,Phillip Simpson,Army,8,5,Fr,TRUE,3
260,2003,141,4,Scott Moore,Penn State,9,5,Jr,TRUE,2
261,2003,141,5,Jason Mester,Central Michigan,4,-1,Jr,TRUE,2
262,2003,141,6,Shane Cunanan,West Virginia,US,7,Sr,TRUE,1
263,2003,141,7,Aaron Holker,Iowa State,5,-2,Sr,TRUE,2
264,2003,141,8,Mike Maney,Lock Haven,6,-2,Sr,TRUE,2
265,2003,149,1,Eric Larkin,Arizona State,1,0,Sr,TRUE,3
266,2003,149,2,Jared Lawrence,Minnesota,2,0,Sr,TRUE,4
267,2003,149,3,Jesse Jantzen,Harvard,3,0,Jr,TRUE,3
268,2003,149,4,Jerrod Sanders,Oklahoma State,5,1,Jr,TRUE,1
269,2003,149,5,Jake Percival,Ohio University,4,-1,So,TRUE,4
270,2003,149,6,Collin Robertson,Boise State,6,0,Sr,TRUE,1
271,2003,149,7,Jon Masa,Hofstra,7,0,So,TRUE,3
272,2003,149,8,Dustin Manotti,Cornell,10,2,Fr,TRUE,4
273,2003,157,1,Ryan Bertin,Michigan,6,5,So,TRUE,4
274,2003,157,2,Alex Tirapelle,Illinois,9,7,Fr,TRUE,2
275,2003,157,3,Shane Roller,Oklahoma State,3,0,Sr,TRUE,3
